node,degree,Betweenness_centrality,Eigenvector_centrality,Closeness_centrality,betwennes/degree
HLA-B,4,0.0,0.002286785112575652,0.29910714285714285,0.0
ADRB2,11,0.18772836352827618,0.022713209336065028,0.41875,0.017066214866206925
HLA-C,5,0.029850746268656716,0.002304434405142925,0.3004484304932735,0.005970149253731343
PTCH1,3,0.0,0.00021066907132766423,0.23183391003460208,0.0
TRIM5,3,0.0,0.02964150109319133,0.3004484304932735,0.0
PSMC5,19,0.07845539537334749,0.324329877287378,0.4267515923566879,0.004129231335439342
SIRT1,6,0.00271389328828802,0.040266781823301574,0.37222222222222223,0.0004523155480480033
PSME3,14,0.08096679362640222,0.20975270383390546,0.41875,0.005783342401885873
HSP90AA1,15,0.09669989727671797,0.06543110942300617,0.4240506329113924,0.006446659818447865
MDM2,18,0.23327839866357317,0.13664181939137005,0.47183098591549294,0.012959911036865175
HSPB1,11,0.14401612659467636,0.07054752779005018,0.43506493506493504,0.013092375144970579
GRPEL1,5,0.0010202862358492872,0.01020979832225449,0.335,0.00020405724716985745
BAG3,16,0.07274298697668079,0.256612612446384,0.4110429447852761,0.004546436686042549
IPO7,5,0.0221085915239826,0.02381960237143533,0.3850574712643678,0.00442171830479652
ARHGDIA,5,0.11676934427952065,0.008600893716419578,0.366120218579235,0.023353868855904132
SF3A3,4,0.04303234581389262,0.023919335585542052,0.3526315789473684,0.010758086453473155
HSPA9,11,0.08307687944294567,0.02874648198206585,0.40606060606060607,0.007552443585722334
PSMA6,19,0.10291103733258858,0.3231895104649517,0.4407894736842105,0.005416370385925714
CDC42,6,0.10224553638732745,0.0008410969129241805,0.2851063829787234,0.01704092273122124
BIRC2,6,0.06176934591113696,0.00010543099233467363,0.23103448275862068,0.010294890985189493
TLR3,4,0.0,1.0612571106418917e-05,0.18873239436619718,0.0
BIRC3,4,0.0,1.0612571106418917e-05,0.18873239436619718,0.0
ILF2,4,0.02208438327841313,0.0002909011557697071,0.24907063197026022,0.005521095819603282
EIF4A1,3,0.04825412978398051,0.003076840010517956,0.3116279069767442,0.016084709927993504
PPIB,3,0.005782467383413512,0.03660491500272023,0.3582887700534759,0.001927489127804504
PSMA4,17,0.07314748850944768,0.28992134548307585,0.39644970414201186,0.004302793441732216
EIF6,6,0.010223645957627854,0.010559261319276016,0.3489583333333333,0.0017039409929379757
CDKN1A,9,0.05562568593155185,0.07097499129845375,0.4110429447852761,0.006180631770172428
RANBP1,3,0.006722624478647894,0.015285134493388034,0.3471502590673575,0.0022408748262159645
YY1,4,0.0010289461781999095,0.019901287696596315,0.3284313725490196,0.00025723654454997736
EIF3B,5,0.021532144547748343,0.013734982094012351,0.3507853403141361,0.004306428909549668
SFPQ,5,0.02173535475261516,0.013083669573052369,0.3401015228426396,0.0043470709505230316
PSMC3,14,0.02059288832348086,0.26564587463233513,0.3941176470588235,0.0014709205945343472
GADD45A,4,0.0,0.018975480088389583,0.3333333333333333,0.0
HSPD1,7,0.01606084082139633,0.020963674648406205,0.37222222222222223,0.002294405831628047
BAX,7,0.010898998274620165,0.08110749677885999,0.3489583333333333,0.0015569997535171665
CCT7,4,0.00534377176168221,0.03560198825836259,0.3316831683168317,0.0013359429404205525
PRPF8,6,0.02284067005912324,0.012971330703336835,0.3284313725490196,0.0038067783431872068
COPS6,5,0.0,0.015095076678641045,0.3383838383838384,0.0
KPNB1,8,0.041754468959353634,0.009440201996395807,0.3471502590673575,0.005219308619919204
RAN,10,0.09312546531576736,0.03644248788178848,0.39880952380952384,0.009312546531576735
LYN,3,0.0,0.00598051105090103,0.29910714285714285,0.0
DNAJC7,3,0.004315184539065135,0.013322926347277362,0.32524271844660196,0.001438394846355045
HSPH1,6,0.0014365402425103918,0.012408101228600766,0.32524271844660196,0.00023942337375173196
ALYREF,5,0.011635577849960482,0.004086812400382397,0.3087557603686636,0.0023271155699920963
U2AF1,3,0.004739169628626089,0.002423302099191099,0.2803347280334728,0.0015797232095420297
RAB11B,2,0.008322385188056829,0.0004249149026210179,0.25475285171102663,0.004161192594028414
NUTF2,5,0.024760756104039685,0.004232479986244365,0.30454545454545456,0.004952151220807937
SRSF1,6,0.011491982447830004,0.0028807753549992448,0.2863247863247863,0.0019153304079716673
HDGF,5,0.024004371811359507,0.02276411817494229,0.3489583333333333,0.004800874362271902
SRSF9,2,0.0019652818160280847,0.002244319633575831,0.27235772357723576,0.0009826409080140423
CCT3,7,0.008739851349431909,0.06229669091977426,0.3316831683168317,0.001248550192775987
PSMA5,15,0.04595532001927033,0.27425732843227596,0.3785310734463277,0.0030636880012846887
CCT5,3,0.0002926389481754947,0.03526190768097459,0.3175355450236967,9.754631605849823e-05
SNRPD3,2,0.0009045680687471732,0.0030893982464940085,0.2768595041322314,0.0004522840343735866
PSMD8,11,0.0021631800494906735,0.24450148868324834,0.36813186813186816,0.0001966527317718794
PSME1,10,0.005834758714820677,0.183725945473388,0.3489583333333333,0.0005834758714820677
PSMB4,15,0.021007731517909207,0.28767351642857875,0.37640449438202245,0.0014005154345272804
PSMD3,11,0.00433104819384645,0.23532851768171684,0.35638297872340424,0.0003937316539860409
PSME2,11,0.006375345822571965,0.2066921289302484,0.3526315789473684,0.0005795768929610877
PSME4,4,0.0,0.09103999052365228,0.3004484304932735,0.0
HSP90AB1,9,0.01768007882228155,0.03136235488431101,0.38285714285714284,0.0019644532024757277
CLIC1,3,0.0,0.025065118342932426,0.2757201646090535,0.0
PSMD6,12,0.006253449299582271,0.24460310089752435,0.3507853403141361,0.0005211207749651893
PSMD13,9,0.0,0.2084656298671549,0.34536082474226804,0.0
PSMB10,4,0.0,0.077265958563871,0.27800829875518673,0.0
NUP88,1,0.0,0.0007906268257759612,0.25868725868725867,0.0
ARHGDIB,1,0.0,7.044999344582139e-05,0.22259136212624583,0.0
